id	file	offset	budget	same_as	jp	kr
SYS04503	SSCR.BIN	0xB8FCE	88	SYS04357	ナゲヤのホシ「エレキ箱は敵にぶち当てる!\n　するとエレキ箱はロボ化し、\n　敵を防いでくれる!	나게야의 호시「에레키 상자는 적한테 던져 맞혀!\n　그러면 에레키 상자가 로봇화해서\n　적을 막아준다고!
SYS04504	SSCR.BIN	0xB902A	78	SYS04358	　エレキ箱は敵に当てても消えない!\n　とにかく、\n　投げて、投げて、投げるべーし!	에레키 상자는 적한테 맞혀도 안 사라져!\n　아무튼\n　던지고, 던지고, 던지는 거다!
SYS04505	SSCR.BIN	0xB9096	47	SYS04359	風来人「この国を救ったのは、\n　女だって話だが、	방랑자「이 나라를 구한 게\n　여자라는 얘기가 있던데,
SYS04506	SSCR.BIN	0xB90C9	52	SYS04360	　オレは信じねえぞ。\n　そういうことは男の仕事なんだ!	난 안 믿어.\n　그런 건 남자가 할 일이라고!
SYS04507	SSCR.BIN	0xB9101	34	SYS04361	　……ま、オレにはできねえけどさ。	……뭐, 나도 못하겠지만.
SYS04508	SSCR.BIN	0xB9132	86	SYS04362	風来人「最近、忍者だ毒だと\n　このあたりも物騒だからな。\n　早いとこ通り抜けたいもんだ。	방랑자「요즘 닌자다 독이다 해서\n　이 근방도 뒤숭숭하니까.\n　얼른 지나가고 싶은데.
SYS04509	SSCR.BIN	0xB9196	71	SYS04363	女風来人「マタギ村からみえる景色は、\n　値千金だって、誰かが言ってたな。	여성 방랑자「마타기 마을에서 보이는 경치는\n　천금의 가치가 있다고 누군가 그러던데.
SYS04510	SSCR.BIN	0xB91FB	55	SYS04364	女風来人「あんただね。\n　十六夜の里を救った女風来人は。	여성 방랑자「너였구나.\n　이자요이 마을을 구한 여성 방랑자가.
SYS04511	SSCR.BIN	0xB9236	66	SYS04365	　まったくやるもんだねぇ。\n　あたしも\n　あんたみたいになりたいよ。	정말 대단하네.\n　나도\n　너처럼 되고 싶어.
SYS04512	SSCR.BIN	0xB9287	86	SYS04366	女風来人「まったくこのあたりの男どもは\n　忍者が怖いなんて、\n　とんだ腰抜けぞろいだよ。	여성 방랑자「정말 이 근방 남자들은\n　닌자가 무섭다니\n　죄다 겁쟁이들뿐이라니까.
SYS04513	SSCR.BIN	0xB92EB	49	SYS04367	農民「このあたりの水田は、\n　オラが世話してるんだ	농민「이 근방 논은\n　내가 돌보고 있다구
SYS04514	SSCR.BIN	0xB931F	82	SYS04368	　モンスター?\n　そんなものはオラの必殺クワスペシャルで\n　いちころだぁ。がっはっは!	몬스터?\n　그런 건 내 필살 괭이 스페셜로\n　단숨에 끝이지. 가핫핫핫!
SYS04515	SSCR.BIN	0xB937F	79	SYS04369	農民「たまにモンスターが稲を荒らすんで、\n　こうして見回ってなきゃいけねえんだ。	농민「가끔 몬스터가 벼를 망쳐놔서\n　이렇게 순찰을 돌아야 한다니까.
SYS04516	SSCR.BIN	0xB93D2	51	SYS04370	　ま、たいがいカカシ様が\n　見守ってくれてっけどな。	뭐, 대개는 허수아비님이\n　지켜봐 주시지만 말이야.
SYS04517	SSCR.BIN	0xB9423	61	SYS04371	農夫「アスカ＠さんのおかげで\n　このあたりにも平和が戻ったよ。	농부「아스카＠님 덕분에\n　이 근방에도 평화가 돌아왔어.
SYS04518	SSCR.BIN	0xB9464	53	SYS04372	　もう毒の心配もないし。\n　あとは収穫の秋が楽しみさ。	이제 독 걱정도 없고.\n　이제 수확의 가을이 기다려지는군.
SYS04519	SSCR.BIN	0xB94A8	86	SYS04373	農夫「心配だ……サジのやつ、\n　このへんで荷物を\n　取られたって言うし……ぶるぶる……。	농부「걱정이군……사지 그 녀석,\n　이 근처에서 짐을\n　빼앗겼다고 하고……부들부들……。
SYS04520	SSCR.BIN	0xB950C	104	SYS04374	ワナのゴンベ「このあいだ、\n　モンスターに追いかけられてるときによう\n　うっかり地雷を踏んじまったんだよ。	함정의 곤베「요전에\n　몬스터한테 쫓기고 있을 때\n　깜빡하고 지뢰를 밟아버렸지 뭐야.
SYS04521	SSCR.BIN	0xB9577	101	SYS04375	　こりゃあやべえ!と思ったんだが、\n　モンスターが地雷の巻き添えをくってよ、\n　あやうく難を逃れたんだ。	이거 큰일 났다! 싶었는데\n　몬스터가 지뢰에 휘말려서\n　간신히 위기를 모면했지.
SYS04522	SSCR.BIN	0xB95FA	40	SYS04376	風来人「よう、\n　おめえも八魔天退治かい?	방랑자「어이,\n　너도 팔마천 퇴치냐?
SYS04523	SSCR.BIN	0xB9633	90	SYS04377	風来人「おめえ、あの八魔天を\n　退治したんだってな。\n　くそっ、女のくせに、女のくせに……。	방랑자「너, 그 팔마천을\n　퇴치했다며.\n　젠장, 여자 주제에, 여자 주제에……。
SYS04524	SSCR.BIN	0xB9691	24	SYS04378	　かっこいいじゃねえか。	멋지잖아.
SYS04525	SSCR.BIN	0xB96C7	45	SYS04379	風来人「八魔天は俺がたおーす!\n　で、ここどこ?	방랑자「팔마천은 내가 쓰러뜨린다!\n　근데, 여기 어디야?
SYS04526	SSCR.BIN	0xB9705	92	SYS04380	風来人「どっかに\n　良いアイテム落ちてねえかなあ。\n　とびっきりレアなやつがいいんだけど……。	방랑자「어디\n　좋은 아이템 안 떨어져 있으려나.\n　엄청 레어한 걸로 있었으면 좋겠는데……。
SYS04527	SSCR.BIN	0xB976F	79	SYS04381	風来人「ちくしょう、この間\n　八魔天のやつらに会ってよう。\n　ひでえ目にあったぜ!	방랑자「젠장, 요전에\n　팔마천 놈들이랑 마주쳐서\n　아주 혼쭐이 났다고!
SYS04528	SSCR.BIN	0xB97CC	45	SYS04382	風来人「ああ広い。\n　まったくこの国は広いぜ。	방랑자「아, 넓다.\n　정말이지 이 나라는 넓다니까.
SYS04529	SSCR.BIN	0xB97FD	49	SYS04383	　……今、オレどこにいるんだろう。\n　とほほ……。	……지금 나 어디 있는 거지.\n　에구구……。
SYS04530	SSCR.BIN	0xB984C	80	SYS04384	風来人「きぃつけな。\n　ダンジョンの途中で、\n　ときどき八魔天が待ち伏せしてるぜ。	방랑자「조심해.\n　던전 도중에\n　가끔 팔마천이 매복하고 있다고.
SYS04531	SSCR.BIN	0xB98AD	44	SYS04385	風来人「ようアスカ＠さん。\n　景気はどうだい?	방랑자「이봐 아스카＠님.\n　형편은 좀 어때?
SYS04532	SSCR.BIN	0xB98E7	57	SYS04386	風来人「おっ\n　ねえさん、威勢がいいね。\n　景気はどうだい?	방랑자「오\n　누님, 기세가 좋네.\n　형편은 좀 어때?
SYS04533	SSCR.BIN	0xB992E	61	SYS04387	風来人「未鑑定の装備品は、\n　呪われているかどうかわからない。	방랑자「미감정 장비품은\n　저주받았는지 아닌지 몰라.
SYS04534	SSCR.BIN	0xB996E	79	SYS04388	　そいつを、あえて装備する!\n　この体を張ったギャンブルが、\n　俺を熱くするんだ。	그걸 굳이 장착한다!\n　이 몸을 건 도박이\n　나를 뜨겁게 만드는 거지.
SYS04535	SSCR.BIN	0xB99CB	70	SYS04389	風来人「俺はエレキ箱を\n　集めているんだ。\n　全種類制覇がオレの目標さ。	방랑자「나는 에레키 상자를\n　모으고 있어.\n　전 종류 제패가 내 목표라고.
SYS04536	SSCR.BIN	0xB9A15	74	SYS04390	　えっ、使わないのかって?\n　そ、そんなことをしたら\n　傷がつくじゃないかっ!	엣, 안 쓰냐고?\n　그, 그런 짓을 하면\n　흠집이 나잖아!
SYS04537	SSCR.BIN	0xB9A7D	82	SYS04391	女風来人「八魔天のやろう、\n　ダンジョンの途中に現れては\n　あたしらの邪魔をしてる。	여성 방랑자「팔마천 놈들,\n　던전 도중에 나타나서는\n　우리 방해를 한다니까.
SYS04538	SSCR.BIN	0xB9AD2	51	SYS04392	　ありゃ、\n　あたしらをからかってるんだ。\n　くそっ!	그건\n　우릴 놀리고 있는 거야.\n　젠장!
SYS04539	SSCR.BIN	0xB9B14	55	SYS04393	女風来人「あんたのおかげで\n　女風来人の格があがったよ。	여성 방랑자「너 덕분에\n　여성 방랑자의 위상이 올라갔어.
SYS04540	SSCR.BIN	0xB9B4F	37	SYS04394	　あたしも\n　うかうかしてられないね。	나도\n　방심할 수 없겠네.
SYS04541	SSCR.BIN	0xB9B92	41	SYS04395	女風来人「あら、\n　あなたも風来人さんね。	여성 방랑자「어머,\n　당신도 방랑자시네요.
SYS04542	SSCR.BIN	0xB9BBF	41	SYS04396	　でも、\n　先に八魔天を倒すのはあたしよ。	근데\n　팔마천을 먼저 쓰러뜨리는 건 나야.
SYS04543	SSCR.BIN	0xB9BF7	74	SYS04397	女風来人「八魔天を倒すのは\n　私だと思ってたけど、\n　先を越されちゃったわ。	여성 방랑자「팔마천을 쓰러뜨리는 건\n　나라고 생각했는데\n　선수를 뺏겨버렸네.
SYS04544	SSCR.BIN	0xB9C64	96	SCR01452	ヘイジ「あ、アネさん、アッシも\n　つれていって……と思ったら、\n　もう仲間がいっぱいですね。残念。	헤이지「아, 누님, 저도\n　데려가 주세요……하려고 했더니\n　벌써 동료가 가득이네요. 아쉽다.
SYS04545	SSCR.BIN	0xB9CD2	54	SCR01453	ヘイジ「あっ、アネさん。\n　アッシもつれてってくだせ～!	헤이지「앗, 누님.\n　저도 좀 데려가 주세요~!
SYS04546	SSCR.BIN	0xB9D28	20	SCR01454	ヘイジ「いやっほー!!	헤이지「이야호~!!
SYS04547	SSCR.BIN	0xB9D42	67	SYS04401	ヘイジ「白神沼のヌシとして、\n　毒を流したやつぁ\n　コテンパンですぜ!	헤이지「시라카미 늪의 주인으로서\n　독을 흘린 놈은\n　아주 혼쭐을 내줬습죠!
SYS04548	SSCR.BIN	0xB9DAE	35	SCR01448	　\n　　　　　ヘイジが仲間になった。	\n　　　　　헤이지가 동료가 되었다.
SYS04549	SSCR.BIN	0xB9DDE	18	SCR01456	ヘイジ「そんな～。	헤이지「그런~。
SYS04550	SSCR.BIN	0xB9E13	112	SCR01458	キハチ「あ、アスカ＠さん～ぼくもお供に\n　……と思ったら、アスカ＠さん、\n　もう仲間がいっぱいみたいだな～。残念。	키하치「아, 아스카＠님~ 저도 함께\n　……하려 했더니, 아스카＠님,\n　벌써 동료가 가득인 것 같네~. 아쉽다.
SYS04551	SSCR.BIN	0xB9E91	76	SCR01459	キハチ「アスカ＠さん～。\n　お供させてほしいんだな～。\n　お役に立つんだな～。	키하치「아스카＠님~。\n　함께 가고 싶다구~。\n　도움이 될 거야~。
SYS04552	SSCR.BIN	0xB9EFD	24	SCR01460	キハチ「がんばるんだな～	키하치「열심히 할게~
SYS04553	SSCR.BIN	0xB9F1B	64	SYS04407	キハチ「白神沼の～\n　ヌシであるところを～\n　見せつけるんだな～。	키하치「시라카미 늪의~\n　주인이라는 걸~\n　보여주겠다구~。
SYS04554	SSCR.BIN	0xB9F84	35	SCR01450	　\n　　　　　キハチが仲間になった。	\n　　　　　키하치가 동료가 되었다.
SYS04555	SSCR.BIN	0xB9FB4	24	SCR01462	キハチ「残念だな～……。	키하치「아쉽다~……。
SYS04556	SSCR.BIN	0xB9FEF	82	SCR00276	ミナモ「あ、アスカ＠さん、一緒に……\n　と思ったら、\n　もう仲間はいっぱいみたいね。	미나모「아, 아스카＠님, 같이……\n　하려고 했더니\n　이미 동료가 가득인가 보네.
SYS04557	SSCR.BIN	0xBA04F	47	SCR00277	ミナモ「あっ、アスカ＠さん!\n　一緒に戦いましょ?	미나모「앗, 아스카＠님!\n　같이 싸울까?
SYS04558	SSCR.BIN	0xBA09C	84	SYS04412	ミナモ「やった!あたし、アスカ＠さんの\n　足手まといにならないよう、\n　しっかりやるわ!	미나모「좋았어! 나, 아스카＠님한테\n　짐이 되지 않도록\n　똑바로 할게!
SYS04559	SSCR.BIN	0xBA0F6	64	SCR00278	ミナモ「ありがとう!\n　あのバケモノ花を倒すまで\n　しっかりやるわ!	미나모「고마워!\n　저 괴물꽃을 쓰러뜨릴 때까지\n　똑바로 할게!
SYS04560	SSCR.BIN	0xBA15F	35	SCR00279	　\n　　　　　ミナモが仲間になった。	\n　　　　　미나모가 동료가 되었다.
SYS04561	SSCR.BIN	0xBA18F	74	SCR00280	ミナモ「そう……うん、\n　アスカ＠さんにも都合があるものね。\n　わかったわ。	미나모「그래……응,\n　아스카＠님도 사정이 있는 거겠지.\n　알았어.
SYS04562	SSCR.BIN	0xBA1FC	78	SCR01853	ミナモ「あ、アスカ＠、一緒に……\n　と思ったら、\n　もう仲間はいっぱいみたいね。	미나모「아, 아스카＠, 같이……\n　하려고 했더니\n　이미 동료가 가득인가 보네.
SYS04563	SSCR.BIN	0xBA258	43	SCR01854	ミナモ「あっ、アスカ＠!\n　一緒に戦いましょ?	미나모「앗, 아스카＠!\n　같이 싸울까?
SYS04564	SSCR.BIN	0xBA2BC	78	SCR01855	ミナモ「やった!\n　よーし、今日はアスカ＠よりも\n　たくさんモンスターを倒すわよ!	미나모「좋았어!\n　좋아, 오늘은 아스카＠보다\n　몬스터를 더 많이 쓰러뜨릴 거야!
SYS04565	SSCR.BIN	0xBA30F	42	SCR01856	アスカ＠「競争か。\n　面白い、受けて立つぞ!	아스카＠「경쟁이라.\n　재밌군, 받아주지!
SYS04566	SSCR.BIN	0xBA33E	36	SCR01857	ミナモ「ふふっ。\n　じゃ、行きましょ!	미나모「후훗.\n　그럼, 가자!
SYS04567	SSCR.BIN	0xBA36D	50	SCR01858	ミナモ「ありがとう。\n　よーし、今日もがんばるわよ!	미나모「고마워.\n　좋아, 오늘도 열심히 할게!
SYS04568	SSCR.BIN	0xBA3AA	72	SCR01859	ミナモ「やった!\n　修行の成果を試すときね。\n　鋼賀流忍術、見せてあげるわ!	미나모「좋았어!\n　수행의 성과를 시험해볼 때네.\n　코가류 인술, 보여줄게!
SYS04569	SSCR.BIN	0xBA41B	35	SCR00279	　\n　　　　　ミナモが仲間になった。	\n　　　　　미나모가 동료가 되었다.
SYS04570	SSCR.BIN	0xBA44B	70	SCR01908	ミナモ「そう……うん、\n　アスカ＠にも都合があるものね。\n　わかったわ。	미나모「그래……응,\n　아스카＠도 사정이 있는 거겠지.\n　알았어.
SYS04571	SSCR.BIN	0xBA4B4	92	SCR01848	ジンパチ「おお、アスカ＠どの、\n　お力を……と思ったら、\n　もうお仲間はいっぱいのようですな。	진파치「오오, 아스카＠공,\n　힘을 보태려……했더니\n　이미 동료분들이 가득한 모양이군요.
SYS04572	SSCR.BIN	0xBA51E	68	SYS04426	ジンパチ「おお、アスカ＠どの。\n　このような場所で会うとは\n　面白い。	진파치「오오, 아스카＠공.\n　이런 곳에서 만나다니\n　재밌군요.
SYS04573	SSCR.BIN	0xBA565	53	SYS04427	　どうです、\n　ここはお力をかして\n　いただけませんか?	어떻습니까,\n　여기서 힘 좀\n　빌려주실 수 없겠습니까?
SYS04574	SSCR.BIN	0xBA5B2	67	SCR01850	ジンパチ「かたじけない。\n　鋼賀流忍びの術。\n　存分にお見せしますよ!	진파치「감사합니다.\n　코가류 은신술을\n　마음껏 보여드리지요!
SYS04575	SSCR.BIN	0xBA61E	36	SCR01851	　\n　　　　 ジンパチが仲間になった。	\n　　　　 진파치가 동료가 되었다.
SYS04576	SSCR.BIN	0xBA64F	72	SCR01852	ジンパチ「そうですか。\n　残念ですが、いずれまたの機会に\n　お願いします。	진파치「그렇습니까.\n　아쉽지만, 다음 기회에\n　부탁드리겠습니다.
SYS04577	SSCR.BIN	0xBA6B3	30	SYS04431	キハチ「あっ、アスカ＠さん～!!	키하치「앗, 아스카＠님~!!
SYS04578	SSCR.BIN	0xBA6D4	102	SYS04432	　ぼくなんだな～。キハチなんだな～。\n　アスカ＠さんの～ご恩に報いようと\n　ここまでやってきたんだな～。	저예요~. 키하치예요~.\n　아스카＠님의~ 은혜에 보답하려고\n　여기까지 왔다구요~。
SYS04579	SSCR.BIN	0xBA73D	53	SYS04433	　ところで～、\n　ヘイジのやつを\n　見なかったんだな～?	그런데~,\n　헤이지 그 녀석\n　못 봤다구~?
SYS04580	SSCR.BIN	0xBA775	61	SYS04434	　え、会ったのかな!\n　まったく\n　いいかげんなヤツなんだな～。	어, 만났다구!\n　정말\n　칠칠맞은 녀석이라니까~。
SYS04581	SSCR.BIN	0xBA7B5	70	SYS04435	　アスカ＠さん～\n　聞いてください～\n　これがまったくいいかげんな話で～	아스카＠님~\n　들어보세요~\n　이게 아주 어처구니없는 얘기인데요~
SYS04582	SSCR.BIN	0xBA7FE	106	SYS04436	　ヘイジのやつ～アスカ＠さんのご恩に\n　報いたいとか言うものだから、\n　しかたなく連れてきてやったんだな～。	헤이지 그 녀석이~ 아스카＠님 은혜에\n　보답하고 싶다고 하길래\n　어쩔 수 없이 데려와 준 거라구~。
SYS04583	SSCR.BIN	0xBA86C	54	SYS04437	　でも途中で\n　モンスターハウスに\n　出くわしたとたん、	근데 도중에\n　몬스터 하우스랑\n　마주치자마자,
SYS04584	SSCR.BIN	0xBA8A5	79	SYS04438	　あいつ～\n　一目散に逃げていってしまって～\n　そのままはぐれてしまったんだな～!	그 녀석~\n　걸음아 날 살려라 도망쳐버려서~\n　그대로 헤어져버렸다구~!
SYS04585	SSCR.BIN	0xBA8F7	94	SYS04439	　八魔天とか言う奴らはけっこう強いって\n　評判だし～まったくいまごろ\n　どうしているやら～……。	팔마천이라는 놈들이 꽤 강하다는\n　소문도 있고~ 정말 지금쯤\n　어떻게 됐을는지~……。
SYS04586	SSCR.BIN	0xBA958	85	SYS04440	　あ、ご、誤解しないでほしいな～\n　別にあんなやつの心配してる\n　わけじゃないんだな～!	아, 오, 오해하지 말아줬으면 좋겠는데~\n　딱히 그런 녀석 걱정하는\n　건 아니라구~!
SYS04587	SSCR.BIN	0xBA9B1	67	SYS04441	　アスカ＠さん～そんなことより\n　ぼくも連れて行って欲しいんだな～。	아스카＠님~ 그것보다\n　저도 데려가 주셨으면 좋겠는데요~。
SYS04588	SSCR.BIN	0xBAA0C	80	SYS04442	　あ、と思ったら、アスカ＠さん、\n　もう仲間がいっぱいみたいだな。\n　残念だな～。	아, 그런데 보니까 아스카＠님,\n　벌써 동료가 가득인 것 같네요.\n　아쉽다구요~。
SYS04589	SSCR.BIN	0xBAA76	26	SYS04443	キハチ「がんばるんだな～。	키하치「열심히 할게~。
SYS04590	SSCR.BIN	0xBAAB9	35	SCR01450	　\n　　　　　キハチが仲間になった。	\n　　　　　키하치가 동료가 되었다.
SYS04591	SSCR.BIN	0xBAAE9	20	SYS04445	キハチ「残念だな～。	키하치「아쉽다~。
SYS04592	SSCR.BIN	0xBAB0B	59	SYS04446	ヘイジ「あっ!\n　アネさ～ん!!\n　よかった～やっと会えました。	헤이지「앗!\n　누~님!!\n　다행이다~ 드디어 만났네요.
SYS04593	SSCR.BIN	0xBAB49	78	SYS04447	　このヘイジ。\n　アネさんのご恩に報いようと、\n　はるばるやってまいりましたぁ!!	이 헤이지.\n　누님 은혜에 보답하고자\n　멀리서 달려왔습니다!!
SYS04594	SSCR.BIN	0xBAB9B	46	SYS04448	　ところで、\n　キハチのやつを見なかったですか?	그런데\n　키하치 그 녀석 못 봤나요?
SYS04595	SSCR.BIN	0xBABCD	37	SYS04449	　そうですか、\n　見ていませんか……。	그렇습니까,\n　못 보셨군요……。
SYS04596	SSCR.BIN	0xBABF6	26	SYS04450	　いやぁマヌケな話ですよ。	참 한심한 얘기죠.
SYS04597	SSCR.BIN	0xBAC14	102	SYS04451	　キハチのヤツもアネさんのご恩に\n　報いたいとかいうもんだから、\n　仕方なく連れてきてやったんですがね。	키하치 그 녀석도 누님 은혜에\n　보답하고 싶다고 하길래\n　어쩔 수 없이 데려와 줬는데 말이죠.
SYS04598	SSCR.BIN	0xBAC7D	88	SYS04452	　途中でモンスターハウスに\n　出くわしたとたん、あいつ\n　一目散に逃げていきやがりまして。	도중에 몬스터 하우스와\n　마주치자마자, 그 녀석\n　걸음아 날 살려라 도망쳐버려서요.
SYS04599	SSCR.BIN	0xBACD8	74	SYS04453	　で、それっきり離れ離れ。\n　まったくいまごろ\n　どこをどうしているのやら。	그러고는 그대로 뿔뿔이.\n　정말이지 지금쯤\n　어디서 뭘 하고 있을는지.
SYS04600	SSCR.BIN	0xBAD25	104	SYS04454	　あ、誤解しないでくだせえよ。\n　別にあんなやつの心配してるわけじゃ\n　ねえですからね。ほ、ほんとですぜ。	아, 오해는 하지 말라구요.\n　딱히 그런 녀석 걱정하는 건\n　아니니까요. 저, 정말이라구요.
SYS04601	SSCR.BIN	0xBAD91	57	SYS04455	　さ、そんなことより、\n　アッシも連れて行ってくださいよ。	자, 그것보다\n　저도 좀 데려가 주세요.
